"date","value","unit"
2024-05-17 00:00:00,8.513,"ct/kWh"
2024-05-17 00:15:00,8.513,"ct/kWh"
2024-05-17 00:30:00,8.513,"ct/kWh"
2024-05-17 00:45:00,8.513,"ct/kWh"
2024-05-17 01:00:00,7.614,"ct/kWh"
2024-05-17 01:15:00,7.614,"ct/kWh"
2024-05-17 01:30:00,7.614,"ct/kWh"
2024-05-17 01:45:00,7.614,"ct/kWh"
2024-05-17 02:00:00,7.639,"ct/kWh"
2024-05-17 02:15:00,7.639,"ct/kWh"
2024-05-17 02:30:00,7.639,"ct/kWh"
2024-05-17 02:45:00,7.639,"ct/kWh"
2024-05-17 03:00:00,7.163,"ct/kWh"
2024-05-17 03:15:00,7.163,"ct/kWh"
2024-05-17 03:30:00,7.163,"ct/kWh"
2024-05-17 03:45:00,7.163,"ct/kWh"
2024-05-17 04:00:00,7.207,"ct/kWh"
2024-05-17 04:15:00,7.207,"ct/kWh"
2024-05-17 04:30:00,7.207,"ct/kWh"
2024-05-17 04:45:00,7.207,"ct/kWh"
2024-05-17 05:00:00,7.193,"ct/kWh"
2024-05-17 05:15:00,7.193,"ct/kWh"
2024-05-17 05:30:00,7.193,"ct/kWh"
2024-05-17 05:45:00,7.193,"ct/kWh"
2024-05-17 06:00:00,8.292,"ct/kWh"
2024-05-17 06:15:00,8.292,"ct/kWh"
2024-05-17 06:30:00,8.292,"ct/kWh"
2024-05-17 06:45:00,8.292,"ct/kWh"
2024-05-17 07:00:00,12.902,"ct/kWh"
2024-05-17 07:15:00,12.902,"ct/kWh"
2024-05-17 07:30:00,12.902,"ct/kWh"
2024-05-17 07:45:00,12.902,"ct/kWh"
2024-05-17 08:00:00,11.5,"ct/kWh"
2024-05-17 08:15:00,11.5,"ct/kWh"
2024-05-17 08:30:00,11.5,"ct/kWh"
2024-05-17 08:45:00,11.5,"ct/kWh"
2024-05-17 09:00:00,12.116,"ct/kWh"
2024-05-17 09:15:00,12.116,"ct/kWh"
2024-05-17 09:30:00,12.116,"ct/kWh"
2024-05-17 09:45:00,12.116,"ct/kWh"
2024-05-17 10:00:00,11.239,"ct/kWh"
2024-05-17 10:15:00,11.239,"ct/kWh"
2024-05-17 10:30:00,11.239,"ct/kWh"
2024-05-17 10:45:00,11.239,"ct/kWh"
2024-05-17 11:00:00,9.869,"ct/kWh"
2024-05-17 11:15:00,9.869,"ct/kWh"
2024-05-17 11:30:00,9.869,"ct/kWh"
2024-05-17 11:45:00,9.869,"ct/kWh"
2024-05-17 12:00:00,6.895,"ct/kWh"
2024-05-17 12:15:00,6.895,"ct/kWh"
2024-05-17 12:30:00,6.895,"ct/kWh"
2024-05-17 12:45:00,6.895,"ct/kWh"
2024-05-17 13:00:00,5.46,"ct/kWh"
2024-05-17 13:15:00,5.46,"ct/kWh"
2024-05-17 13:30:00,5.46,"ct/kWh"
2024-05-17 13:45:00,5.46,"ct/kWh"
2024-05-17 14:00:00,6.37,"ct/kWh"
2024-05-17 14:15:00,6.37,"ct/kWh"
2024-05-17 14:30:00,6.37,"ct/kWh"
2024-05-17 14:45:00,6.37,"ct/kWh"
2024-05-17 15:00:00,7.012,"ct/kWh"
2024-05-17 15:15:00,7.012,"ct/kWh"
2024-05-17 15:30:00,7.012,"ct/kWh"
2024-05-17 15:45:00,7.012,"ct/kWh"
2024-05-17 16:00:00,6.367,"ct/kWh"
2024-05-17 16:15:00,6.367,"ct/kWh"
2024-05-17 16:30:00,6.367,"ct/kWh"
2024-05-17 16:45:00,6.367,"ct/kWh"
2024-05-17 17:00:00,7.439,"ct/kWh"
2024-05-17 17:15:00,7.439,"ct/kWh"
2024-05-17 17:30:00,7.439,"ct/kWh"
2024-05-17 17:45:00,7.439,"ct/kWh"
2024-05-17 18:00:00,6.366,"ct/kWh"
2024-05-17 18:15:00,6.366,"ct/kWh"
2024-05-17 18:30:00,6.366,"ct/kWh"
2024-05-17 18:45:00,6.366,"ct/kWh"
2024-05-17 19:00:00,8.286,"ct/kWh"
2024-05-17 19:15:00,8.286,"ct/kWh"
2024-05-17 19:30:00,8.286,"ct/kWh"
2024-05-17 19:45:00,8.286,"ct/kWh"
2024-05-17 20:00:00,8.036,"ct/kWh"
2024-05-17 20:15:00,8.036,"ct/kWh"
2024-05-17 20:30:00,8.036,"ct/kWh"
2024-05-17 20:45:00,8.036,"ct/kWh"
2024-05-17 21:00:00,9.088,"ct/kWh"
2024-05-17 21:15:00,9.088,"ct/kWh"
2024-05-17 21:30:00,9.088,"ct/kWh"
2024-05-17 21:45:00,9.088,"ct/kWh"
2024-05-17 22:00:00,10.046,"ct/kWh"
2024-05-17 22:15:00,10.046,"ct/kWh"
2024-05-17 22:30:00,10.046,"ct/kWh"
2024-05-17 22:45:00,10.046,"ct/kWh"
2024-05-17 23:00:00,8.978,"ct/kWh"
2024-05-17 23:15:00,8.978,"ct/kWh"
2024-05-17 23:30:00,8.978,"ct/kWh"
2024-05-17 23:45:00,8.978,"ct/kWh"
